_id,책ID,책 이름,댓글 아이디,댓글 내용
658e8352c3baaf37b89b3338,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,te****,기대되는 책입니다
658e8353c3baaf37b89b3339,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,sj********,차근차근 잘 읽고 있어요
658e8354c3baaf37b89b333a,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,zx***,어렵지않아 좋아요~부담은 내려놓고^^
658e8355c3baaf37b89b333b,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,fl******,도움이 많이 됩니다
658e8358c3baaf37b89b333c,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ch******,베스트셀러이기도 하고 추천을 받고 구입하였는데 좋습니다
658e8359c3baaf37b89b333d,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,07*****,나이가 들면서 삶을돌아보게 됩니다
658e835ac3baaf37b89b333e,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ne******,이 리뷰에는 스포일러가 포함되어있습니다.\n보기
658e835bc3baaf37b89b333f,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,2m****,마음이\n편안해져요.
658e835cc3baaf37b89b3340,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,lp******,삶을 살아가는 태도에 도움이 됩니다
658e835ec3baaf37b89b3341,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ys*****,주변에서 추천해줘서 읽어보려합니다
658e835fc3baaf37b89b3342,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,dh********,넘 좋은 거 같아요
658e8360c3baaf37b89b3343,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ji*******,마흔에 읽는 시리즈 ~ 잘 보고 있습니다
658e8361c3baaf37b89b3344,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,br******,도움되는 책입니다
658e8362c3baaf37b89b3345,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ch*******,친구가 추천해서 샀는데 공감되는 문장이 많네요. 추천합니다.
658e8365c3baaf37b89b3346,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,le****,집에 한권 있어도 좋을책이예요
658e8366c3baaf37b89b3347,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,na******,마음을 다스리기 위한. . .
658e8367c3baaf37b89b3348,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ob****,이책이 많이 도움이 될것 같습니다
658e8368c3baaf37b89b3349,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,jh*******,마흔에 읽었으면 내 삶에 변화가 있었을까?\n지나온 삶을 돌아보게 하네요.
658e8369c3baaf37b89b334a,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,so*****,좋아요. 깊은 가르침 감사합니다
658e836ac3baaf37b89b334b,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,dl********,이 리뷰에는 스포일러가 포함되어있습니다.\n보기
658e836bc3baaf37b89b334c,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,cu******,한번에 쭈욱 읽히는게 편하고 좋네요
658e836cc3baaf37b89b334d,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,be*******,답답한 현실에 자꾸 짜증이 나고 마음이 심란할때 보면 도움이 됩니다.
658e836dc3baaf37b89b334e,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,jo****,쇼펜하우어에 대해 다시 생각해보네요
658e836ec3baaf37b89b334f,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,hj*******,공감되는 내용이 만ㅆ아서 좋아요
